Điện Biên,h,11,100,
Điện Biên Đông,h,11,101,
Mường Ảng,h,11,102,
Nậm Pồ,h,11,103,
Lai Châu,tp,12,105,
Tam Đường,h,12,106,
Mường Tè,h,12,107,
Sìn Hồ,h,12,108,
Phong Thổ,h,12,109,
Than Uyên,h,12,110,
Tân Uyên,h,12,111,
Nậm Nhùn,h,12,112,
Sơn La,tp,14,116,
Quỳnh Nhai,h,14,118,
Thuận Châu,h,14,119,
Mường La,h,14,120,
Bắc Yên,h,14,121,
Phù Yên,h,14,122,
Mộc Châu,h,14,123,
Yên Châu,h,14,124,
Mai Sơn,h,14,125,
Sông Mã,h,14,126,
Sốp Cộp,h,14,127,
Vân Hồ,h,14,128,
Yên Bái,tp,15,132,
Nghĩa Lộ,tx,15,133,
Lục Yên,h,15,135,
Văn Yên,h,15,136,
Mù Căng Chải,h,15,137,
Trấn Yên,h,15,138,
Trạm Tấu,h,15,139,
Văn Chấn,h,15,140,
Yên Bình,h,15,141,
Hòa Bình,tp,17,148,
Đà Bắc,h,17,150,
Lương Sơn,h,17,152,
Kim Bôi,h,17,153,
Cao Phong,h,17,154,
Tân Lạc,h,17,155,
Mai Châu,h,17,156,
Lạc Sơn,h,17,157,
Yên Thủy,h,17,158,
Lạc Thủy,h,17,159,
Thái Nguyên,tp,19,164,
Sông Công,tp,19,165,
Định Hóa,h,19,167,
Phú Lương,h,19,168,
Đồng Hỷ,h,19,169,
Võ Nhai,h,19,170,
Đại Từ,h,19,171,
Phổ Yên,tx,19,172,
Phú Bình,h,19,173,
Lạng Sơn,tp,20,178,
Tràng Định,h,20,180,
Bình Gia,h,20,181,
Văn Lãng,h,20,182,
Cao Lộc,h,20,183,
Văn Quan,h,20,184,
Bắc Sơn,h,20,185,
Hữu Lũng,h,20,186,
Chi Lăng,h,20,187,
Lộc Bình,h,20,188,
Đình Lập,h,20,189,
Hạ Long,tp,22,193,
Móng Cái,tp,22,194,
Cẩm Phả,tp,22,195,
Uông Bí,tp,22,196,
Bình Liêu,h,22,198,
Tiên Yên,h,22,199,
Đầm Hà,h,22,200,
Hải Hà,h,22,201,
Ba Chẽ,h,22,202,
Vân Đồn,h,22,203,
Đông Triều,tx,22,205,
Quảng Yên,tx,22,206,
Cô Tô,h,22,207,
Bắc Giang,tp,24,213,
Yên Thế,h,24,215,
Tân Yên,h,24,216,
Lạng Giang,h,24,217,
Lục Nam,h,24,218,
Lục Ngạn,h,24,219,
Sơn Động,h,24,220,
Yên Dũng,h,24,221,
Việt Yên,h,24,222,
Hiệp Hòa,h,24,223,
Việt Trì,tp,25,227,
Phú Thọ,tx,25,228,
Đoan Hùng,h,25,230,
Hạ Hoà,h,25,231,
Thanh Ba,h,25,232,
Phù Ninh,h,25,233,
Yên Lập,h,25,234,
Cẩm Khê,h,25,235,
Tam Nông,h,25,236,
Lâm Thao,h,25,237,
Thanh Sơn,h,25,238,
Thanh Thuỷ,h,25,239,
Tân Sơn,h,25,240,
Vĩnh Yên,tp,26,243,
Phúc Yên,tp,26,244,
Lập Thạch,h,26,246,
Tam Dương,h,26,247,
Tam Đảo,h,26,248,
Bình Xuyên,h,26,249,
Mê Linh,h,01,250,
Yên Lạc,h,26,251,
Vĩnh Tường,h,26,252,
Sông Lô,h,26,253,
Bắc Ninh,tp,27,256,
Yên Phong,h,27,258,
Quế Võ,h,27,259,
Tiên Du,h,27,260,
Từ Sơn,tx,27,261,
Thuận Thành,h,27,262,
Gia Bình,h,27,263,
Lương Tài,h,27,264,
Hà Đông,q,01,268,
Sơn Tây,tx,01,269,
Ba Vì,h,01,271,
Phúc Thọ,h,01,272,
Đan Phượng,h,01,273,
Hoài Đức,h,01,274,
Quốc Oai,h,01,275,
Thạch Thất,h,01,276,
Chương Mỹ,h,01,277,
Thanh Oai,h,01,278,
Thường Tín,h,01,279,
Phú Xuyên,h,01,280,
Ứng Hòa,h,01,281,
Mỹ Đức,h,01,282,
Hải Dương,tp,30,288,
Chí Linh,tp,30,290,
Nam Sách,h,30,291,
Kinh Môn,tx,30,292,
Kim Thành,h,30,293,
Thanh Hà,h,30,294,
Cẩm Giàng,h,30,295,
Bình Giang,h,30,296,
Gia Lộc,h,30,297,
Tứ Kỳ,h,30,298,
Ninh Giang,h,30,299,
Thanh Miện,h,30,300,
Hồng Bàng,q,31,303,
Ngô Quyền,q,31,304,
Lê Chân,q,31,305,
Hải An,q,31,306,
Kiến An,q,31,307,
Đồ Sơn,q,31,308,
Dương Kinh,q,31,309,
Thuỷ Nguyên,h,31,311,
An Dương,h,31,312,
